"SITE_ID","YEAR","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"CTH110","1992.0","12/31/1991 09:00:00","12/29/1992 08:00:00","10.419","4.615","0.454","2.433","2.849","1.354","","","","",""
"CDR119","1997.0","12/31/1996 09:00:00","12/30/1997 08:00:00","7.523","5.038","0.29","1.675","1.939","1.434","","","","",""
"VIN140","1993.0","12/29/1992 09:00:00","01/04/1994 08:00:00","16.9","6.133","2.241","2.482","4.683","2.399","","","","",""
"ALH157","2019.0","01/01/2019 09:00:00","12/31/2019 08:00:00","0.764","1.304","1.796","0.686","2.471","0.831","0.447","0.079","0.055","0.072","0.065"
"KNZ184","2005.0","01/04/2005 09:00:00","01/03/2006 08:00:00","1.585","2.849","2.014","1.159","3.155","1.087","1.21","0.077","0.052","0.081","0.035"
"WNC429","2014.0","12/31/2013 09:00:00","12/30/2014 08:00:00","0.316","0.59","0.265","0.456","0.714","0.236","0.261","0.024","0.024","0.03","0.017"
"DIN431","2018.0","01/02/2018 09:00:00","01/01/2019 08:00:00","0.317","0.424","0.571","0.418","0.982","0.249","0.333","0.052","0.045","0.052","0.026"
"DCP114","2021.0","12/29/2020 09:00:00","01/04/2022 08:00:00","0.642","1.177","1.129","0.802","1.919","0.65","0.263","0.079","0.056","0.076","0.06"
"UND002","2015.0","12/30/2014 09:00:00","12/29/2015 08:00:00","0.612","0.98","0.379","0.478","0.849","0.376","0.121","0.092","0.024","0.038","0.056"
"WNC429","2016.0","12/29/2015 09:00:00","01/03/2017 08:00:00","0.428","0.469","0.249","0.435","0.677","0.184","0.297","0.025","0.027","0.03","0.019"
"SHN418","2006.0","01/03/2006 09:00:00","01/02/2007 08:00:00","5.094","3.985","0.436","1.754","2.162","1.324","0.174","0.052","0.03","0.049","0.035"
"GRC474","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.261","0.723","0.265","0.588","0.844","0.235","0.217","0.089","0.035","0.032","0.03"
"HOW191","2017.0","01/03/2017 09:00:00","01/02/2018 08:00:00","0.411","0.566","0.219","0.226","0.442","0.202","0.041","0.141","0.021","0.038","0.113"
"CAD150","2012.0","01/03/2012 09:00:00","01/01/2013 08:00:00","0.743","2.187","0.453","0.855","1.294","0.651","0.236","0.198","0.047","0.098","0.058"
"WST109","2008.0","01/01/2008 09:00:00","12/30/2008 08:00:00","0.866","1.512","0.188","0.393","0.574","0.516","0.049","0.078","0.014","0.045","0.041"
"PAR107","2022.0","01/04/2022 09:00:00","01/03/2023 08:00:00","","","","","","","","","","",""
"HOX148","2009.0","12/30/2008 09:00:00","12/29/2009 08:00:00","","","","","","","","","","",""
"GTH161","2021.0","12/29/2020 09:00:00","01/04/2022 08:00:00","0.103","0.287","0.114","0.162","0.273","0.114","0.112","0.031","0.018","0.032","0.016"
"SEK402","2003.0","12/31/2002 09:00:00","12/30/2003 08:00:00","0.886","1.16","1.204","1.479","2.66","0.684","0.146","0.168","0.033","0.076",""
"WST109","2010.0","12/29/2009 09:00:00","01/04/2011 08:00:00","0.448","1.1","0.177","0.242","0.415","0.399","0.06","0.076","0.015","0.075","0.068"
"SAL133","1990.0","01/02/1990 09:00:00","01/01/1991 08:00:00","9.959","6.0","2.973","2.216","5.154","2.615","","","","",""
"CDZ171","1993.0","12/29/1992 09:00:00","01/04/1994 08:00:00","","","","","","","","","","",""
